level,slotIndex,cardIds,comment
100,0,,【Monkey丛林-1】入门 - 3列
100,1,,
100,2,1002;2001;5001;5001;6001,断剑+破盾+坏Monkey×2+出口
100,3,,
100,4,,
101,0,,【Monkey丛林-2】探索 - 3列
101,1,,
101,2,1002;5009;5001;5008;2001;6001,断剑+木桶+坏Monkey+船长+破盾+出口
101,3,,
101,4,,
102,0,,【Monkey丛林-3】骷髅初见 - 3列
102,1,,
102,2,1004;2009;5001;5003;3001;6001,铁剑+木盾+坏Monkey+骷髅Monkey+血瓶+出口
102,3,,
102,4,,
103,0,,【Monkey丛林-4】精英-自爆危机 - 4列
103,1,5009;1002,木桶+断剑
103,2,5008;5003;2002;3001,船长+骷髅Monkey+铁盾+血瓶
103,3,5014;1004;6001,自爆monkey+铁剑+出口
103,4,,
104,0,,【Monkey丛林-5】怪盗出没 - 5列
104,1,5009;1002,木桶+断剑
104,2,5008;5015;2009,船长+怪盗+木盾
104,3,5030;3001;1004,小丑+血瓶+铁剑
104,4,5009;6001,木桶+出口
105,0,,【Monkey丛林-6】罗密欧与朱丽叶 - 5列
105,1,5009;1004,木桶+铁剑
105,2,5017;5018;2002,罗密欧+朱丽叶+铁盾
105,3,5003;3001;1007,骷髅Monkey+血瓶+回旋镖
105,4,5009;6001,木桶+出口
106,0,,【Monkey丛林-7】猴群围攻 - 5列
106,1,5030;1006,小丑+重锤
106,2,5031;5008;2003,滑板+船长+刃甲
106,3,5003;3001;1003,骷髅Monkey+血瓶+手里剑
106,4,5016;6001,宝箱+出口
107,0,,【Monkey丛林-8】BOSS骷髅骑士 - 5列
107,1,5009;1006;2004,木桶+重锤+护手
107,2,5004;5008;3001,骷髅骑士+船长+血瓶
107,3,5003;1004;2002,骷髅Monkey+铁剑+铁盾
107,4,5009;4001;6001,木桶+连击+出口
108,0,,【Donkey荒漠-9】入门 - 3列
108,1,,
108,2,1004;2009;5011;5011;3001;6001,铁剑+木盾+骷髅Donkey×2+血瓶+出口
108,3,,
108,4,,
109,0,,【Donkey荒漠-10】死灵初见 - 3列
109,1,,
109,2,1004;2002;5010;5011;3001;6001,铁剑+铁盾+死灵Donkey+骷髅Donkey+血瓶+出口
109,3,,
109,4,,
110,0,,【Donkey荒漠-11】幽灵来袭 - 4列
110,1,5009;1006,木桶+重锤
110,2,5011;5011;2002;3001,骷髅Donkey×2+铁盾+血瓶
110,3,5020;1004;6001,幽灵+铁剑+出口
110,4,,
111,0,,【Donkey荒漠-12】精英-大春驾到 - 4列
111,1,5007;1008,炸药桶+染血长矛
111,2,5021;5010;2003;3001,大春Donkey+死灵Donkey+刃甲+血瓶
111,3,5016;1006;6001,宝箱+重锤+出口
111,4,,
112,0,,【Donkey荒漠-13】波兰蠢驴 - 5列
112,1,5009;1004,木桶+铁剑
112,2,5022;5011;2002,波兰蠢Donkey+骷髅Donkey+铁盾
112,3,5020;3001;1007,幽灵+血瓶+回旋镖
112,4,5009;6001,木桶+出口
113,0,,【Donkey荒漠-14】亡灵军团 - 5列
113,1,5009;1006,木桶+重锤
113,2,5010;5020;2004,死灵Donkey+幽灵+护手
113,3,5011;3001;1008,骷髅Donkey+血瓶+染血长矛
113,4,5009;6001,木桶+出口
114,0,,【Donkey荒漠-15】炸药陷阱 - 5列
114,1,5007;1006,炸药桶+重锤
114,2,5021;5022;2006,大春Donkey+波兰蠢Donkey+血魔盾
114,3,5020;3001;1004,幽灵+血瓶+铁剑
114,4,5016;6001,宝箱+出口
115,0,,【Donkey荒漠-16】BOSS驴群大战 - 5列
115,1,5007;1006;2003,炸药桶+重锤+刃甲
115,2,5021;5010;3001,大春Donkey+死灵Donkey+血瓶
115,3,5020;5022;1008;2002,幽灵+波兰蠢Donkey+染血长矛+铁盾
115,4,5016;4001;6001,宝箱+连击+出口
116,0,,【Turkey感恩节-17】入门 - 3列
116,1,,
116,2,1004;2002;5023;5024;3001;6001,铁剑+铁盾+坏turkey+走地turkey+血瓶+出口
116,3,,
116,4,,
117,0,,【Turkey感恩节-18】闪避大师 - 3列
117,1,,
117,2,1006;2003;5023;5025;3001;6001,重锤+刃甲+坏turkey+闪避turkey+血瓶+出口
117,3,,
117,4,,
118,0,,【Turkey感恩节-19】感恩之心 - 4列
118,1,5009;1007,木桶+回旋镖
118,2,5024;5025;2002;3001,走地turkey+闪避turkey+铁盾+血瓶
118,3,5026;1006;6001,感恩turkey+重锤+出口
118,4,,
119,0,,【Turkey感恩节-20】精英-胆小鬼 - 4列
119,1,5009;1008,木桶+染血长矛
119,2,5013;5026;2004;3001,胆小Turkey+感恩turkey+护手+血瓶
119,3,5023;1006;6001,坏turkey+重锤+出口
119,4,,
120,0,,【Turkey感恩节-21】孵化危机 - 5列
120,1,5009;1006,木桶+重锤
120,2,5028;5023;2002,走地turkey蛋+坏turkey+铁盾
120,3,5025;3001;1004,闪避turkey+血瓶+铁剑
120,4,5009;6001,木桶+出口
121,0,,【Turkey感恩节-22】火鸡大军 - 5列
121,1,5009;1006,木桶+重锤
121,2,5013;5024;2006,胆小Turkey+走地turkey+血魔盾
121,3,5026;3001;1007,感恩turkey+血瓶+回旋镖
121,4,5009;6001,木桶+出口
122,0,,【Turkey感恩节-23】感恩节狂欢 - 5列
122,1,5009;1008,木桶+染血长矛
122,2,5023;5023;2003,坏turkey×2+刃甲
122,3,5025;5026;3001;1006,闪避turkey+感恩turkey+血瓶+重锤
122,4,5016;6001,宝箱+出口
123,0,,【Turkey感恩节-24】BOSS大turkey霸 - 5列
123,1,5007;1006;2004,炸药桶+重锤+护手
123,2,5027;5028;3001,大turkey霸+走地turkey蛋+血瓶
123,3,5023;5026;1008;2002,坏turkey+感恩turkey+染血长矛+铁盾
123,4,5016;4001;6001,宝箱+连击+出口
124,0,,【骷髅墓地-25】入门 - 3列
124,1,,
124,2,1006;2002;5005;5003;3001;6001,重锤+铁盾+吸血鬼Monkey+骷髅Monkey+血瓶+出口
124,3,,
124,4,,
125,0,,【骷髅墓地-26】宝箱怪 - 4列
125,1,5009;1006,木桶+重锤
125,2,5005;5029;2003;3001,吸血鬼Monkey+宝箱怪+刃甲+血瓶
125,3,5009;1008;6001,木桶+染血长矛+出口
125,4,,
126,0,,【骷髅墓地-27】吸血危机 - 4列
126,1,5007;1006,炸药桶+重锤
126,2,5005;5005;2006;3001,吸血鬼Monkey×2+血魔盾+血瓶
126,3,5016;1008;6001,宝箱+染血长矛+出口
126,4,,
127,0,,【骷髅墓地-28】精英-宝箱陷阱 - 5列
127,1,5009;1006,木桶+重锤
127,2,5029;5029;2004,宝箱怪×2+护手
127,3,5005;3001;1008,吸血鬼Monkey+血瓶+染血长矛
127,4,5016;6001,宝箱+出口
128,0,,【骷髅墓地-29】幽灵再现 - 5列
128,1,5009;1006,木桶+重锤
128,2,5005;5029;2003,吸血鬼Monkey+宝箱怪+刃甲
128,3,5020;3001;1008,幽灵+血瓶+染血长矛
128,4,5009;6001,木桶+出口
129,0,,【骷髅墓地-30】强敌联合 - 5列
129,1,5007;1006,炸药桶+重锤
129,2,5029;5021;2006,宝箱怪+大春Donkey+血魔盾
129,3,5005;3001;1008,吸血鬼Monkey+血瓶+染血长矛
129,4,5016;6001,宝箱+出口
130,0,,【骷髅墓地-31】噩梦前夕 - 5列
130,1,5007;1006;2004,炸药桶+重锤+护手
130,2,5005;5005;3001,吸血鬼Monkey×2+血瓶
130,3,5029;5027;1008;2003,宝箱怪+大turkey霸+染血长矛+刃甲
130,4,5016;6001,宝箱+出口
131,0,,【骷髅墓地-32】FINAL死神降临 - 5列
131,1,5007;1006;2004,炸药桶+重锤+护手
131,2,5012;5005;3001,死神+吸血鬼Monkey+血瓶
131,3,5029;1008;2006;4001,宝箱怪+染血长矛+血魔盾+连击
131,4,5007;3002;6001,炸药桶+炸弹+出口
