id   ,cardImage ,cardBackground,cardName            ,comment,type,description,attack ,defence ,health ,price ,stars,effectIds
1000,Art/Img/Attack/img_card_BrokenSword,Art/Img/Attack/img_bg_Attack,武器牌,教学牌,attack,点击堆叠到手牌,5,0,0,0,1,
1001,Art/Img/Attack/木棍,Art/Img/Attack/img_bg_Attack,武器牌,教学牌,attack,点击堆叠到手牌,8,0,0,0,1,
1002,Art/Img/Attack/img_card_BrokenSword,Art/Img/Attack/img_bg_Attack,断剑,,attack,,5,0,0,50,1,
1003,Art/Img/Attack/img_card_Dart,Art/Img/Attack/img_bg_Attack,手里剑        ,,attack,装备：触发1次自动攻击,4,0,0,150,2,DealRandomEnemyEqualToAttack_OnTop
1004,Art/Img/Attack/木棍,Art/Img/Attack/img_bg_Attack,木棒,,attack,,8,0,0,100,1,
1005,Art/Img/Attack/img_card_DoubleSwords,Art/Img/Attack/img_bg_Attack,对剑,,attack,没有防具时攻击+5,9,0,0,100,2,ExtraDamage_NoDefence:5
1006,Art/Img/Attack/img_card_Hammer,Art/Img/Attack/img_bg_Attack,重锤        ,,attack,敌人先发起攻击,20,0,0,300,3,SlowAttack
1007,Art/Img/Attack/img_card_Boomerang,Art/Img/Attack/img_bg_Attack,回旋镖       ,,attack,攻击时：随机对场上敌人发动3次攻击,5,0,0,300,3,BounceToRandomEnemy_OnDealDamage:2
1008,Art/Img/Attack/img_card_Blood_Spear,Art/Img/Attack/img_bg_Attack,染血长矛       ,,attack,joey生命值低于50%时，攻击+10,9,0,0,100,2,ExtraDamage_HalfHealth:10
1010,Art/Img/Attack/渴甲刃,Art/Img/Attack/img_bg_Attack,渴甲刃,,attack,离场:从弃牌堆抽取一张防御卡,8,0,0,150,2,HookDefenceFromDiscard_OnRemoveCard
1011,Art/Img/Attack/img_card_barehanded,Art/Img/Attack/img_bg_Attack,赤手空拳,,attack,永不消耗,3,0,0,0,1,BareHands
1012,Art/Img/Attack/img_card_Soul_Eating_Sword,Art/Img/Attack/img_bg_Attack,噬魂剑,,attack,击杀:永久攻击+1,7,0,0,150,2,PermanentAttackBoost:1
1013,Art/Img/Attack/img_card_Soul_Eating_Dart,Art/Img/Attack/img_bg_Attack,噬魂手里剑,,attack,装备：触发1次自动攻击 主动击杀:永久攻击+1,4,0,0,300,3,PermanentAttackBoostWithRandomDamage:1
1014,Art/Img/Attack/img_card_crossbow,Art/Img/Attack/img_bg_Attack,重弩,,attack,,16,0,0,300,3,
1015,Art/Img/Attack/img_card_BattleFury,Art/Img/Attack/img_bg_Attack,狂战斧,,attack,攻击时，向周围怪物溅射50%伤害,10,0,0,300,3,BattleFury:50
1016,Art/Img/Attack/王者剑,Art/Img/Attack/img_bg_Attack,王者剑盾（剑）,,attack,攻击后切换为盾形态  剩余切换次数:2,8,0,0,300,3,KingShield_OnAttack
1017,Art/Img/Attack/死神之镰,Art/Img/Attack/img_bg_Attack,死神之镰,,attack,斩杀生命值小于一半的怪物,5,0,0,300,3,CullingBlade
1018,Art/Img/Attack/img_card_Dagger,Art/Img/Attack/img_bg_Attack,刺客匕首,,attack,敌人不会反击,4,0,0,175,2,NoCounterAttack
1019,Art/Img/Attack/赤手空拳加拳套,Art/Img/Attack/img_bg_Attack,拳击手套,,attack,永不消耗,6,0,0,0,2,BareHands
1020,Art/Img/Attack/噩梦长枪,Art/Img/Attack/img_bg_Attack,噩梦长枪,,attack,攻击力额外加成损失血量值的三分之一,6,0,0,300,3,NightmareLance
1021,Art/Img/Attack/魔法剑,Art/Img/Attack/img_bg_Attack,魔法剑,,attack,玩家每使用一张技能牌，当前武器牌攻击力增加3点,5,0,0,300,3,MagicSword:3
1022,Art/Img/Attack/魔杖,Art/Img/Attack/img_bg_Attack,魔杖,,attack,攻击视作技能施放,3,0,0,0,1,MagicWand
1023,Art/Img/Attack/骑士剑,Art/Img/Attack/img_bg_Attack,骑士剑,,attack,装备：使用次数+1  剩余次数:{durability},10,0,0,300,3,KnightSword_OnTop
1024,Art/Img/Attack/img_card_Dart,Art/Img/Attack/img_bg_Attack,螺旋手里剑,,attack,手里剑 获得其他武器时:此牌进入环境并+2攻击,6,0,0,200,2,SpiralShuriken
1025,Art/Img/Attack/苦痛之刃,Art/Img/Attack/img_bg_Attack,苦痛之刃,诅咒,attack,攻击力为0的诅咒武器,0,0,0,0,1,
,,,,,,,,,,,,
,,,,,,,,,,,,
2000,Art/Img/Defence/img_card_BreakTheShield,Art/Img/Defence/img_bg_Defence,防御牌,教学牌,defence,点击堆叠到手牌,0,3,0,0,1,
2001,Art/Img/Defence/img_card_BreakTheShield,Art/Img/Defence/img_bg_Defence,破盾       ,,defence,,0,3,0,50,1,
2002,Art/Img/Defence/img_card_Shield,Art/Img/Defence/img_bg_Defence,铁盾       ,,defence,,0,9,0,200,2,
2003,Art/Img/Defence/img_card_Koilonychia,Art/Img/Defence/img_bg_Defence,刃甲,,defence,反伤:5,0,6,0,200,2,DealDamage_UseDefence:5
2004,Art/Img/Defence/img_card_HandGuard,Art/Img/Defence/img_bg_Defence,护手,,defence,离场:从弃牌堆随机抽取1张武器回到手牌,0,6,0,200,2,HookEquipWeaponFromDiscard_OnDefence
2005,Art/Img/Defence/img_card_shield_01,Art/Img/Defence/img_bg_Defence,手滑盾,,defence,离场:将当前手上的武器牌丢到环境中,0,8,0,200,2,ThrowWeaponToStack_OnDefence
2006,Art/Img/Defence/吸血盔甲,Art/Img/Defence/img_bg_Defence,吸血盔甲,,defence,离场:回复等同于所抵挡伤害的生命值,0,7,0,300,3,HealPlayer_OnDefense
2007,Art/Img/Defence/匕首护盾,Art/Img/Defence/img_bg_Defence,匕首护盾,,defence,离场:在环境中召唤一把匕首,0,7,0,200,2,AddKnifeToEnv_OnDefense
2008,Art/Img/Defence/骑士铠甲,Art/Img/Defence/img_bg_Defence,骑士铠甲,,defence,装备:骑士铠甲的护甲值永久+1,0,6,0,300,3,PermanentDefenceBoost:1
2009,Art/Img/Defence/马甲,Art/Img/Defence/img_bg_Defence,马甲,,defence,,0,6,0,100,1,
2010,Art/Img/Defence/钢盾,Art/Img/Defence/img_bg_Defence,钢盾,,defence,,,12,0,300,3,
2011,Art/Img/Defence/img_card_KingShield,Art/Img/Defence/img_bg_Defence,王者剑盾（盾）,,defence,攻击后切换为剑形态  剩余切换次数:2,0,12,0,300,3,KingShield_OnDefense
2012,Art/Img/Defence/复仇之盾,Art/Img/Defence/img_bg_Defence,噩梦之盾,,defence,防御力额外加成损失血量的三分之一,0,3,0,300,3,VengeanceShield
2013,Art/Img/Defence/破盾的救赎,Art/Img/Defence/img_bg_Defence,破盾的救赎,,defence,抵挡一次致命攻击,0,3,0,100,2,BrokenShieldRedemption
2014,Art/Img/Defence/魔法盾,Art/Img/Defence/img_bg_Defence,魔法盾,,defence,玩家每使用一张技能牌，当前防御牌防御力增加2点,0,5,0,300,3,MagicShield:2
2015,Art/Img/Defence/骑士盾,Art/Img/Defence/img_bg_Defence,骑士盾,,defence,装备：使用次数+1  剩余次数:{durability},0,10,0,300,3,KnightShield_OnTop
