level,monster_ids,difficluty_4,difficluty_8,difficluty_12,type,theme
1,5002;5009,,,5002,normal,monkey
2,5002;5035;5006,,,5035,elite,monkey
3,5017;5018;5006;5009,,5006,5009,normal,monkey
4,5019;5014;5006;5006,,5014,5006,boss,monkey
5,5032;5022;5006,,,5032,normal,donkey
6,5021;5032;5015;5036;5016,,5036,5016,elite,donkey
7,5033;5022;5032;5009,,5032,5022,normal,donkey
8,5034;5021;5015;5016,,5021,5015,boss,donkey
9,5023;5024;5023;5016,5024,5023,5016,normal,turkey
10,5013;5025;5029;5024;5016,5029,5024,5016,elite,turkey
11,5026;5024;5024;5023,5026,5024,5023,normal,turkey
12,5027;5026;5023;5024;5016,5027,5026,5023,boss,turkey
13,5003;5003;5011;5011;5003;5016,5011,5003,5011,normal,deadkey
14,5005;5004;5037;5003;5020;5016,5037,5020,5005,elite,deadkey
15,5010;5020;5011;5003;5016,5010,5020,5011,normal,deadkey
16,5012;5005;5004;5003;5020;5016,5012,5005,5004,boss,deadkey
17,5044;5045;5046;5019;5014;5017;5018;5006;5009;5016,5045,5046,5019,normal,tutorial
18,5047;5034;5036;5021;5022;5033;5015;5016,5047,5036,5021,elite,tutorial
19,5048;5027;5027;5024;5025;5026;5023;5013;5016,5027,5024,5027,normal,tutorial
20,5040;5041;5042;5043;5037;5010;5004;5005;5003;5011;5020;5016,5041,5042,5037,final,tutorial
