id,level,name,dependency,desc,price,,,
0,0,初始遗物·烤肉香香,-1,获得初始遗物:烤肉香香,30,,,
1,1,初始装备·小血瓶,0,初始装备增加一个小血瓶,30,,,
2,1,初始装备·木棒,0,初始卡牌破剑替换为木棒,30,,,
3,1,新卡·魔法召唤,0,解锁技能卡牌魔力召唤；解锁道具卡牌魔法药水,30,,,
4,2,初始装备·马甲,1,初始卡牌破盾替换为马甲,30,,,
5,2,新卡·骑士剑盾,1,解锁攻击卡牌骑士剑；解锁防御卡牌骑士盾,30,,,
6,2,初始装备·噬魂剑,2,初始卡牌木棒替换为噬魂剑,40,,,
7,2,新卡·噩梦剑盾,2,解锁攻击卡牌噩梦长枪；解锁防御卡牌噩梦之盾,30,,,
8,2,新卡·冰火魔法,3,解锁技能卡牌冰霜魔法；解锁技能卡牌烈焰火球,30,,,
9,2,新卡·魔法装备,3,解锁攻击卡牌魔法剑；解锁防御卡牌魔法盾；解锁攻击卡牌魔杖,30,,,
11,3,新卡·螺旋手里剑,4,解锁攻击卡牌螺旋手里剑,30,,,
15,3,新卡·破盾的救赎,7,解锁防御卡牌破盾的救赎,30,,,
16,3,新卡·鲜血道具,7,解锁道具卡牌沸腾兽血；解锁道具卡牌鲜血护符,30,,,
22,4,初始装备·钢盾,11,初始卡牌马甲替换成钢盾,40,,,
23,4,遗物·弹反双持,5,解锁遗物弹刀；解锁遗物看破；解锁新遗物双持精通,30,,,
25,4,新卡·浴血战斗,16,解锁技能卡牌浴血奋战；解锁技能卡牌宁死不屈,30,,,
26,4,新卡·技能强化,8,解锁技能卡牌技能强化,30,,,
27,4,遗物·高等艺术,9,解锁新遗物高等艺术；解锁新遗物魔剑士指环,30,,,
28,5,初始遗物·空手接白刃,22,获得初始遗物空手接白刃,40,,,
282,5,基础强化,23,攻击防御+1,35,,,
281,5,初始装备·噬魂手里剑,22,初始卡牌手里剑替换为噬魂手里剑,40,,,
29,5,遗物·护盾反伤,15,解锁新遗物护盾反伤,30,,,
30,5,遗物·再生护符,15,解锁新遗物再生护符；解锁新遗物半血护符,30,,,
32,5,初始遗物·拳套,25,获得初始遗物拳套,40,,,
33,5,初始遗物·手里剑强化,26,获得初始遗物手里剑精通,40,,,
35,5,卡牌上限,27,卡牌上限增加2,35,,,
37,6,基础强化,28,攻击防御+1,35,,,
39,6,基础强化,29,攻击防御+1,35,,,
41,6,体魄强化,30,初始生命上限+8,35,,,
43,6,体魄强化,30,初始生命上限+8,35,,,
46,6,富裕开局,32,初始金币+80,35,,,
48,6,基础强化,33,攻击防御+1,35,,,
49,6,高级卡牌,26,获得高级卡牌的概率+10%,35,,,
51,6,富裕开局,35,初始金币+80,35,,,
54,6,高级卡牌,282,获得高级卡牌的概率+10%,35,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
