id   ,cardImage ,iconImage,name,description,stars
9001,Art\Img\Relic\img_relic_attack,Art\Img\Relic\icon_relic_attack,攻击强化,武器攻击+1,2
9002,Art\Img\Relic\img_relic_defence,Art\Img\Relic\icon_relic_defence,防御强化,防具防御+1,2
9003,Art/Img/Relic/img_relic_monkey,Art/Img/Relic/icon_relic_monkey,monkey祝福,使用武器时有小概率获得一个猴子香蕉(永久增加武器1点攻击),1
9004,Art/Img/Relic/img_relic_turkey,Art/Img/Relic/icon_relic_turkey,turkey祝福,使用道具时有小概率获得一个火鸡羽毛(永久增加防具1点防御),1
9005,Art/Img/Relic/img_relic_donkey,Art/Img/Relic/icon_relic_donkey,donkey祝福,使用技能时有小概率获得一个驴肉火烧(永久+2生命上限),1
9006,Art\Img\Relic\img_relic_skeleton,Art/Img/Relic/icon_relic_skeleton,skeleton祝福,使用防具时有小概率获得一个骷髅骸骨(小惊喜),1
9007,Art\Img\Relic\img_relic_battooth,Art\Img\Relic\icon_relic_battooth,蝙蝠牙齿,主动攻击造成吸血:1,3
9008,Art\Img\Relic\img_relic_bat,Art\Img\Relic\icon_relic_bat,蝙蝠祝福,击杀:回复3点生命,2
9009,Art\Img\Relic\img_relic_dart,Art\Img\Relic\icon_relic_dart,手里剑强化,手里剑自动攻击+2,1
9010,Art\Img\Relic\img_relic_glove,Art\Img\Relic\icon_relic_glove,拳套,赤手空拳替换为拳击手套(攻击+3),3
9011,Art\Img\Relic\img_relic_alldefence,Art\Img\Relic\icon_relic_alldefence,老茧,受到伤害小于3时抵抗该次伤害,2
9012,Art\Img\Relic\img_relic_recover,Art\Img\Relic\icon_relic_recover,药水强化,药水的恢复效果+5,2
9013,Art\Img\Relic\img_relic_purify,Art\Img\Relic\icon_relic_purify,圣光,怪物进入环境时攻击和生命减少1点,2
9014,Art\Img\Relic\img_relic_discount,Art\Img\Relic\icon_relic_discount,打折卡,商店卡牌打八折,1
9015,Art\Img\Relic\img_relic_addcard,Art\Img\Relic\icon_relic_addcard,手牌上限,手牌上限+2,1
9016,Art\Img\Relic\img_relic_peach,Art\Img\Relic\icon_relic_peach,桃,增加10生命上限,1
9017,Art\Img\Relic\img_relic_tiger,Art\Img\Relic\icon_relic_tiger,指虎,赤手空拳装备时造成一次伤害,2
9018,Art\Img\Relic\img_relic_brambles,Art\Img\Relic\icon_relic_brambles,荆棘祝福,获得反伤:3,2
9019,Art\Img\Relic\img_relic_doublefist,Art\Img\Relic\icon_relic_doublefist,邦邦两拳,赤手空拳可以攻击两次,2
9020,Art\Img\Relic\img_relic_shieldreflect,Art\Img\Relic\icon_relic_shieldreflect,护盾反伤,受到伤害时:将护盾值等额反弹给攻击者,2
9021,Art\Img\Relic\img_relic_regeneration,Art\Img\Relic\icon_relic_regeneration,再生护符,每三回合回复1点生命,2
9022,Art\Img\Relic\img_relic_bloodygloves,Art\Img\Relic\icon_relic_bloodygloves,染血拳法,血量低于50%时:赤手空拳/拳套的伤害+5,2
9023,Art\Img\Relic\img_relic_halfhealth,Art\Img\Relic\icon_relic_halfhealth,半血护符,如果生命值大于50%:每两回合扣除1HP;反之回复1HP,2
9024,Art\Img\Relic\img_relic_arcaneorb,Art\Img\Relic\icon_relic_arcaneorb,奥术宝珠,每施放五次技能获得一张魔力召唤,2
9025,Art\Img\Relic\img_relic_magicswordsman,Art\Img\Relic\icon_relic_magicswordsman,魔剑士指环,加入手牌的武器牌变成魔力剑，加入手牌的防御牌变成魔力盾,3
9026,Art\Img\Relic\img_relic_magicswordsman,Art\Img\Relic\icon_relic_magicswordsman,高等艺术,赤手空拳变成魔杖，攻击视作技能施放，且永不消耗,3
9024,Art\Img\Relic\img_relic_attack,Art\Img\Relic\icon_relic_attack,双持精通,没有装备防具时，所有伤害+5,2
9026,Art\Img\Relic\img_relic_defence,Art\Img\Relic\icon_relic_defence,弹刀,可以用武器格挡(格挡值等于武器攻击力)，格挡后武器被消耗,3
9027,Art\Img\Relic\img_relic_attack,Art\Img\Relic\icon_relic_attack,看破,当被怪物攻击5次后，下次将躲闪并反击，没有装备防具时计数翻倍,3
9028,Art\Img\Relic\img_relic_defence,Art\Img\Relic\icon_relic_defence,空手接白刃,当没有装备武器牌和防御牌时，格挡一半伤害,3
9029,Art\Img\Relic\img_relic_recover,Art\Img\Relic\icon_relic_recover,烤肉香香,关卡结束时，回复6点生命值,2
9999,Art/Img/Relic/卡牌超载,Art/Img/Relic/卡牌超载,卡牌超载,卡牌超过{cardLimit}张上限（当前{currentCount}张），多出的卡牌无法加入关卡,1
