level,slotIndex,cardIds,comment
1,0,,Tutorial level 1 - kept for compatibility
1,1,,
1,2,1000;2000;1001;5000;6001,
1,3,,
1,4,,
2,0,,Tutorial level 2 - kept for compatibility
2,1,1002,
2,2,1004;3000;5003;6001,
2,3,5009;4000,
2,4,,
3,0,,Tutorial level 3 - kept for compatibility
3,1,1002;5003;6001,
3,2,1004,
3,3,5001;1003;2002,
3,4,,
4,0,2003;1002,Tutorial level 4 - kept for compatibility
4,1,1004;5009;1006,
4,2,5004;5003;1002;5008;6001,
4,3,2002;5008;5009;2004;1002,
4,4,1003,
5,0,1005;1006;5006;5003;4006;5003,Tutorial level 5 - kept for compatibility
5,1,5004;5008;5003;5006;5003,
5,2,3002;5007;5003,
5,3,5004;5008;5006;5008,
5,4,4006;5006;2004;1006;5003,
999,0,,Debug level
999,1,1006,
999,2,5010,
999,3,3004,
999,4,,
100,0,,Level 1-1 (normal): 2 weak monsters
100,1,5001,Bad Monkey (3 atk 5 hp)
100,2,5001,Bad Monkey (3 atk 5 hp)
100,3,6001,Exit door
100,4,,
101,0,5003,Level 1-2 (boss): 3 monsters - harder than elite - then shop
101,1,5001;5009,Bad Monkey + Barrel
101,2,5003,Skeleton Monkey (5 atk 15 hp)
101,3,5003,Skeleton Monkey
101,4,6001,Exit door
102,0,,Level 1-3 (elite): 2 monsters
102,1,5001;5009,Bad Monkey + Barrel
102,2,5003,Skeleton Monkey
102,3,6001,Exit door
102,4,,
103,0,5003,Level 1-4 (boss): 4 monsters - then shop
103,1,5003;5009,Skeleton + Barrel
103,2,5003,Skeleton Monkey
103,3,5001,Bad Monkey
103,4,6001,Exit door
104,0,5003,Level 2-1 (normal): 3 monsters
104,1,5001;5009,Bad Monkey + Barrel
104,2,5003,Skeleton Monkey
104,3,6001,Exit door
104,4,,
105,0,5003;5008,Level 2-2 (boss): 4 monsters with vampire - then shop
105,1,5003;5009,Skeleton + Barrel
105,2,5008,Vampire Monkey (5 atk 8 hp)
105,3,5003,Skeleton Monkey
105,4,6001,Exit door
106,0,5003,Level 2-3 (elite): 4 monsters
106,1,5008,Vampire Monkey
106,2,5003;5009,Skeleton + Barrel
106,3,5001,Bad Monkey
106,4,6001,Exit door
107,0,5003;5008,Level 2-4 (boss): 5 monsters with multiple vampires - then shop
107,1,5003,Skeleton Monkey
107,2,5008,Vampire Monkey
107,3,5009,Barrel
107,4,5008,Vampire Monkey
108,0,5003,Level 3-1 (normal): 4 monsters
108,1,5008,Vampire Monkey
108,2,5003;5009,Skeleton + Barrel
108,3,5001,Bad Monkey
108,4,6001,Exit door
109,0,5004;5003,Level 3-2 (boss): 5 monsters with Big Monkey - then shop
109,1,5008,Vampire Monkey
109,2,5004,Big Monkey (8 atk 30 hp - drops cards)
109,3,5003;5009,Skeleton + Barrel
109,4,5008,Vampire Monkey
110,0,5003;5008,Level 3-3 (elite): 5 monsters
110,1,5003,Skeleton Monkey
110,2,5008,Vampire Monkey
110,3,5009,Barrel
110,4,5003,Skeleton Monkey
111,0,5004;5003,Level 3-4 (boss): 5 strong monsters with Big Monkey - then shop
111,1,5008,Vampire Monkey
111,2,5004,Big Monkey
111,3,5008;5009,Vampire + Barrel
111,4,5004,Big Monkey
112,0,5003,Level 4-1 (normal): 5 monsters
112,1,5008;5009,Vampire + Barrel
112,2,5003,Skeleton Monkey
112,3,5008,Vampire Monkey
112,4,6001,Exit door
113,0,5004;5008,Level 4-2 (boss): 5 strong monsters - then shop
113,1,5003;5008,Skeleton + Vampire
113,2,5004,Big Monkey
113,3,5008,Vampire Monkey
113,4,6001,Exit door
114,0,5003;5008,Level 4-3 (elite): 5 monsters
114,1,5003,Skeleton Monkey
114,2,5004,Big Monkey
114,3,5008,Vampire Monkey
114,4,6001,Exit door
115,0,5004;5004,Level 4-4 (boss): Final Boss - 2 Big Monkeys + vampires - then final shop
115,1,5008;5003,Vampire + Skeleton
115,2,5004,Big Monkey
115,3,5008;5009,Vampire + Barrel
115,4,6001,Exit door
,,,
,,,
,,,
,,,
,,,
